t_s,coverage,victims_found,cohesion,drones_in_fallback
0.0,0.0,0,1.0,0
0.1,0.0432,0,1.0,0
0.2,0.0432,0,1.0,0
0.3,0.0432,0,1.0,0
0.4,0.0432,0,1.0,0
0.5,0.0432,0,1.0,0
0.6,0.0432,0,1.0,0
0.7,0.0432,0,1.0,0
0.8,0.0432,0,1.0,0
0.9,0.0432,0,1.0,0
1.0,0.0432,0,1.0,0
1.1,0.0432,0,1.0,0
1.2,0.0432,0,1.0,0
1.3,0.0432,0,1.0,0
1.4,0.0436,0,1.0,0
1.5,0.0436,0,1.0,0
1.6,0.0436,0,1.0,0
1.7,0.0436,0,1.0,0
1.8,0.0436,0,1.0,0
1.9,0.0436,0,1.0,0
2.0,0.0436,0,1.0,0
2.1,0.0436,0,1.0,0
2.2,0.0436,0,1.0,0
2.3,0.0436,0,1.0,0
2.4,0.0455,0,1.0,0
2.5,0.0455,0,1.0,0
2.6,0.0455,0,1.0,0
2.7,0.0455,0,1.0,0
2.8,0.0465,0,1.0,0
2.9,0.0465,0,1.0,0
3.0,0.0465,0,1.0,0
3.1,0.0465,0,1.0,0
3.2,0.0472,0,1.0,0
3.3,0.0472,0,1.0,0
3.4,0.0485,0,1.0,0
3.5,0.0485,0,1.0,0
3.6,0.0485,0,1.0,0
3.7,0.0485,0,1.0,0
3.8,0.0495,0,1.0,0
3.9,0.0495,0,1.0,0
4.0,0.0498,0,1.0,0
4.1,0.0498,0,1.0,0
4.2,0.0498,0,1.0,0
4.3,0.0514,0,1.0,0
4.4,0.0514,0,1.0,0
4.5,0.0514,0,1.0,0
4.6,0.0527,0,1.0,0
4.7,0.0527,0,1.0,0
4.8,0.0527,0,1.0,0
4.9,0.0554,0,1.0,0
5.0,0.0554,0,1.0,0
5.1,0.0554,0,1.0,0
5.2,0.0557,0,1.0,0
5.3,0.0557,0,1.0,0
5.4,0.0557,0,1.0,0
5.5,0.0583,0,1.0,0
5.6,0.0583,0,1.0,0
5.7,0.0583,0,1.0,0
5.8,0.0606,0,1.0,0
5.9,0.0606,0,1.0,0
6.0,0.0606,0,1.0,0
6.1,0.0635,0,1.0,0
6.2,0.0635,0,1.0,0
6.3,0.0635,0,1.0,0
6.4,0.0655,0,1.0,0
6.5,0.0655,0,1.0,0
6.6,0.0655,0,1.0,0
6.7,0.0662,0,1.0,0
6.8,0.0662,0,1.0,0
6.9,0.0662,0,1.0,0
7.0,0.0711,0,1.0,0
7.1,0.0711,0,1.0,0
7.2,0.0711,0,1.0,0
7.3,0.0711,0,1.0,0
7.4,0.0711,0,1.0,0
7.5,0.0711,0,1.0,0
7.6,0.0727,0,1.0,0
7.7,0.0727,0,1.0,0
7.8,0.0727,0,1.0,0
7.9,0.0776,0,1.0,0
8.0,0.0776,0,1.0,0
8.1,0.0776,0,1.0,0
8.2,0.0776,0,1.0,0
8.3,0.0776,0,1.0,0
8.4,0.0783,0,1.0,0
8.5,0.0783,0,1.0,0
8.6,0.0832,0,1.0,0
8.7,0.0832,0,1.0,0
8.8,0.0839,0,1.0,0
8.9,0.0839,0,1.0,0
9.0,0.0839,0,1.0,0
9.1,0.0839,0,1.0,0
9.2,0.0875,0,1.0,0
9.3,0.0875,0,1.0,0
9.4,0.0904,0,1.0,0
9.5,0.0904,0,1.0,0
9.6,0.0904,0,1.0,0
9.7,0.0904,0,1.0,0
9.8,0.0927,0,1.0,0
9.9,0.0927,0,1.0,0
10.0,0.0963,0,1.0,0
10.1,0.0963,0,1.0,0
10.2,0.0966,0,1.0,0
10.3,0.0966,0,1.0,0
10.4,0.0992,0,1.0,0
10.5,0.0992,0,1.0,0
10.6,0.0992,0,1.0,0
10.7,0.0992,0,1.0,0
10.8,0.1038,0,1.0,0
10.9,0.1038,0,1.0,0
11.0,0.1074,0,1.0,0
11.1,0.1074,0,1.0,0
11.2,0.1074,0,1.0,0
11.3,0.1074,0,1.0,0
11.4,0.1107,0,1.0,0
11.5,0.1107,0,1.0,0
11.6,0.1143,0,1.0,0
11.7,0.1143,0,1.0,0
11.8,0.1146,0,1.0,0
11.9,0.1146,0,1.0,0
12.0,0.115,0,1.0,0
12.1,0.115,0,1.0,0
12.2,0.1182,0,1.0,0
12.3,0.1182,0,1.0,0
12.4,0.1218,0,1.0,0
12.5,0.1218,0,1.0,0
12.6,0.1218,0,1.0,0
12.7,0.1218,0,1.0,0
12.8,0.1218,0,1.0,0
12.9,0.1218,0,0.833,0
13.0,0.1255,0,0.833,0
13.1,0.1255,0,0.833,0
13.2,0.1297,0,0.833,0
13.3,0.1297,0,0.833,0
13.4,0.1297,0,0.833,0
13.5,0.1297,0,0.833,0
13.6,0.1333,0,0.833,0
13.7,0.1333,0,0.833,0
13.8,0.1333,0,0.833,0
13.9,0.1333,0,0.833,0
14.0,0.1379,0,0.667,0
14.1,0.1379,0,0.667,0
14.2,0.1392,0,0.667,0
14.3,0.1392,0,0.667,0
14.4,0.1428,0,0.667,0
14.5,0.1428,0,0.667,0
14.6,0.1431,0,0.667,0
14.7,0.1431,0,0.667,0
14.8,0.1474,0,0.667,0
14.9,0.1474,0,0.667,0
15.0,0.1497,0,0.667,0
15.1,0.1497,0,0.667,0
15.2,0.1497,0,0.667,0
15.3,0.1497,0,0.667,0
15.4,0.1526,0,0.667,0
15.5,0.1526,0,0.667,0
15.6,0.1549,0,0.667,0
15.7,0.1549,0,0.667,0
15.8,0.1549,0,0.667,0
15.9,0.1549,0,0.667,0
16.0,0.1579,1,0.667,0
16.1,0.1579,1,0.667,0
16.2,0.1592,1,0.667,0
16.3,0.1592,1,0.667,0
16.4,0.1631,1,0.667,0
16.5,0.1631,1,0.667,0
16.6,0.1631,1,0.667,0
16.7,0.1631,1,0.667,0
16.8,0.1661,1,0.667,0
16.9,0.1661,1,0.667,0
17.0,0.1684,1,0.667,0
17.1,0.1684,1,0.667,0
17.2,0.1684,1,0.667,0
17.3,0.1684,1,0.667,0
